what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641581218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641581625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237641588609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641588843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641595000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641595015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641595421
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237641596609
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237641604562
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237641611609
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237641614421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641614640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641618218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641618218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641618640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237641620328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641620828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641659718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641659734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237641660187
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237641666531
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1237641669531
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237641677437
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1237641678578
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237641680265
