what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1237614955531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1237614955718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237614956328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237614962375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237614971843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237614971859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237614972328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237614977218
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237614981093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237614981406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615059796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615059812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615060000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615060390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615084671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615084687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615085093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615086875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615371484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615371500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615371937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615389750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615390750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615390781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237615390921
