what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237458810062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237458810078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237458939046
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1237458941750
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237458942265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237458988875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237459024796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237459024812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237459025234
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1237459025984
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237459028234
executed,command,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.edit.opendecl,1237459050609
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237459050718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237459059703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237459060343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237459145109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237459145125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237459145578
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237459153875
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1237459154500
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237459156796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237459201656
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1237459253890
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1237459254218
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1237459255265
