what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237620512593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620513218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620548890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620548906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620549375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1237620562812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1237620565156
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237620565843
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1237620565921
executed,command,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.edit.text.c.indent,1237620566421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1237620571359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1237620571531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237620578015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620578171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620578562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620578578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620579031
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237620580312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620584031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620585000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620585000
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620585406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620586171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620628546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237620628562
