what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237629894609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237629915546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237629985046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237629997312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237630002828
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237630010375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237630042015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237630044343
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237630051218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630055218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630068062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630068093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630068484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630074281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630114421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630114437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630114875
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237630127921
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237630129828
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1237630130906
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1237630133718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1237630140312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630141031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630146281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237630146296
