what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320126906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320126921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320127375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320197875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320200359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320200359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320200828
executed,command,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.edit.opendecl,1238320220812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238320226750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320235187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320383312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320383328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320383796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1238320412515
executed,command,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.edit.text.c.indent,1238320412984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238320422828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320423046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320503281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320503281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320503750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320515187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320550656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320550671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238320551125
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1238320552906
