what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884210812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884211515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884211546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884211718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884211968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884212500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884212500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884212765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237884212984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237885166234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237885166250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237885166718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237885168906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237885169296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237885169296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237885169375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237885169546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237888116765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237888118203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237888118671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237888118687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237888119140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237888120562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237894803625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237894803640
